City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
390,Palembang,ID,-2.9167,104.7458,75.0,90,55,2.19,broken clouds
391,Broome,US,42.2506,-75.833,36.01,76,100,3.0,light snow
392,Kamenka,RU,51.3223,42.7678,35.74,77,100,5.88,overcast clouds
393,Rafai,CF,4.95,23.9167,68.0,91,67,1.36,broken clouds
394,Villeneuve-Sur-Lot,FR,44.5,0.6667,38.82,95,22,4.38,few clouds
395,Oyama,JP,36.3,139.8,63.59,88,100,22.91,moderate rain
396,Sakakah,SA,29.9697,40.2064,62.17,24,3,7.67,clear sky
397,Pisco,PE,-13.7,-76.2167,71.65,68,0,21.85,clear sky
398,Cayambe,EC,0.05,-78.1333,47.46,91,100,2.48,moderate rain
399,Gilgit,PK,35.9221,74.3087,42.75,43,67,1.83,broken clouds
400,Faanui,PF,-16.4833,-151.75,80.44,78,100,18.72,light rain
401,Ulaangom,MN,49.9811,92.0667,8.73,77,77,4.27,broken clouds
402,Ducheng,CN,23.2373,111.5317,46.13,62,2,2.57,clear sky
403,Shellbrook,CA,53.2168,-106.4011,24.03,94,85,2.33,overcast clouds
404,Vuktyl,RU,63.8567,57.3094,14.9,85,100,22.28,snow
405,Taltal,CL,-25.4,-70.4833,65.1,69,23,3.71,few clouds
406,Gardony,HU,47.2094,18.6361,37.85,92,100,15.28,light snow
407,Meadow Lake,US,34.8014,-106.5436,70.57,25,0,3.96,clear sky
408,Turayf,SA,31.6725,38.6637,62.85,39,0,9.22,clear sky
409,Fort Walton Beach,US,30.4058,-86.6188,72.14,47,3,4.0,clear sky
410,Moerai,PF,-22.4333,-151.3333,77.99,85,89,16.55,light rain
411,Roald,NO,62.5833,6.1333,34.0,86,75,6.91,light shower snow
412,Karangsembung,ID,-6.8487,108.6422,77.7,83,100,4.76,overcast clouds
413,Lubbock,US,33.6001,-101.8338,76.14,21,36,1.01,scattered clouds
414,Pecos,US,31.4229,-103.4932,80.69,21,1,17.27,clear sky
415,Nadym,RU,65.5333,72.5167,-14.73,100,100,3.22,overcast clouds
416,Kotma,IN,23.2,81.9667,54.32,55,89,2.26,overcast clouds
417,Jaciara,BR,-15.9653,-54.9683,78.08,89,100,5.12,overcast clouds
418,Tombouctou,ML,20.0,-3.0,73.24,16,100,12.5,overcast clouds
419,Namatanai,PG,-3.6667,152.4333,82.11,75,90,6.89,overcast clouds
420,Tezu,IN,27.9167,96.1667,62.2,49,10,4.34,clear sky
421,Osterhofen,DE,48.7,13.0167,40.84,72,100,20.15,overcast clouds
422,De-Kastri,RU,51.4667,140.7833,15.28,89,100,9.31,overcast clouds
423,Ocos,GT,14.5094,-92.1933,93.7,59,0,4.63,clear sky
424,Townsville,AU,-19.25,146.8,79.68,89,20,1.14,few clouds
425,Umea,SE,63.8284,20.2597,6.73,85,0,10.36,clear sky
426,Muriwai Beach,NZ,-36.8167,174.45,69.96,74,98,4.61,overcast clouds
427,Corinto,GR,37.9407,22.9573,53.42,62,3,8.01,clear sky
428,Yerbogachen,RU,61.2767,108.0108,2.68,99,98,1.95,overcast clouds
429,Ahipara,NZ,-35.1667,173.1667,69.17,63,100,2.1,overcast clouds
430,Beya,RU,53.0533,90.9139,24.28,70,76,8.39,broken clouds
431,Grants,US,35.1473,-107.8514,61.03,16,1,13.8,clear sky
432,Kashi,CN,39.4547,75.9797,27.61,50,7,11.18,clear sky
433,Rietavas,LT,55.7194,21.9311,29.01,90,51,3.47,broken clouds
434,Puerto Escondido,MX,15.85,-97.0667,85.03,59,19,6.8,few clouds
435,Coos Bay,US,43.3665,-124.2179,62.15,88,1,3.44,clear sky
436,Tindwari,IN,25.6167,80.5333,62.73,37,100,0.58,overcast clouds
437,Port-Gentil,GA,-0.7193,8.7815,80.56,89,40,6.91,scattered clouds
438,Storforshei,NO,66.4043,14.5233,11.98,67,0,3.44,clear sky
439,Mbulu,TZ,-3.85,35.5333,60.08,89,83,10.74,broken clouds
440,Samfya,ZM,-11.3649,29.5565,78.42,48,89,4.83,overcast clouds
441,Abu Samrah,SY,35.3029,37.1841,63.46,75,100,19.44,overcast clouds
442,Victoria Point,AU,-27.5833,153.3,75.16,99,100,1.01,overcast clouds
443,Maumere,ID,-8.6199,122.2111,81.05,79,100,1.54,overcast clouds
444,Breza,BA,44.0183,18.2608,27.25,91,77,4.7,broken clouds
445,Safford,US,32.834,-109.7076,75.52,22,51,0.22,broken clouds
446,Riyadh,SA,24.6877,46.7219,60.94,27,0,1.23,clear sky
447,Harper,LR,4.375,-7.7169,79.59,83,91,6.11,overcast clouds
448,Kurbnesh,AL,41.7797,20.0836,27.23,84,13,5.79,few clouds
449,Mahon,ES,39.8885,4.2658,55.96,71,40,8.05,scattered clouds
450,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.09,93,100,13.04,overcast clouds
451,Yazd,IR,31.8972,54.3675,53.71,43,0,6.91,clear sky
452,Auki,SB,-8.7676,160.7034,81.97,77,100,3.62,overcast clouds
453,Marsh Harbour,BS,26.5412,-77.0636,72.86,59,6,8.88,clear sky
454,Natal,BR,-5.795,-35.2094,84.85,74,40,13.8,scattered clouds
455,Xiamen,CN,24.4798,118.0819,63.25,44,0,6.71,clear sky
456,Cayenne,GF,4.9333,-52.3333,78.84,90,75,6.91,mist
457,Radstadt,AT,47.3833,13.45,39.16,99,100,3.76,light rain
458,Caldas Novas,BR,-17.7417,-48.625,76.55,85,90,3.76,overcast clouds
459,Wanning,CN,18.8003,110.3967,66.67,66,93,12.71,overcast clouds
460,Yar-Sale,RU,66.8333,70.8333,-11.83,100,57,3.91,broken clouds
461,Ilheus,BR,-14.7889,-39.0494,78.24,87,100,8.48,overcast clouds
462,Ati,TD,13.2154,18.3353,83.3,17,3,13.06,clear sky
463,Warri,NG,5.5167,5.75,78.13,85,76,4.99,broken clouds
464,Birao,CF,10.2849,22.7882,78.82,27,10,5.32,clear sky
465,Thinadhoo,MV,0.5333,72.9333,81.7,77,5,9.62,clear sky
466,Puerto Suarez,BO,-18.95,-57.8,87.75,49,77,3.51,broken clouds
467,Kieta,PG,-6.2167,155.6333,82.13,79,59,2.98,broken clouds
468,Acopiara,BR,-6.0953,-39.4525,86.81,33,93,3.42,overcast clouds
469,Yeniseysk,RU,58.4497,92.1703,21.74,88,100,12.17,overcast clouds
470,Mananjary,MG,-21.2167,48.3333,74.89,92,39,6.22,light rain
471,Capreol,CA,46.706,-80.9225,31.55,95,90,4.61,light snow
472,Concepcion,CL,-36.827,-73.0498,63.77,62,0,9.78,clear sky
473,Inhambane,MZ,-23.865,35.3833,73.83,83,54,9.78,broken clouds
474,Chara,RU,56.9064,118.2631,-0.11,92,100,0.74,overcast clouds
475,Zavet,BG,43.7667,26.6667,32.2,77,10,20.27,clear sky
476,Eureka,US,40.8021,-124.1637,58.19,88,2,4.0,clear sky
477,Naze,JP,28.3667,129.4833,56.5,69,99,25.17,overcast clouds
478,Kalikino,RU,52.9493,39.8269,31.73,72,86,12.59,overcast clouds
479,Murgab,TM,37.4966,61.9714,55.87,34,0,9.8,clear sky
480,Manapparai,IN,10.6,78.4167,74.26,97,16,3.69,few clouds
481,Baghdad,IQ,33.3406,44.4009,57.11,67,100,5.75,overcast clouds
482,Hobyo,SO,5.3505,48.5268,79.36,65,66,19.53,broken clouds
483,Ofunato,JP,39.0717,141.7167,59.94,82,100,29.86,light rain
484,Acari,PE,-15.4311,-74.6158,75.45,58,59,8.75,broken clouds
485,Yanam,IN,16.7333,82.2167,72.97,71,1,5.37,clear sky
486,Alcaudete,ES,37.5909,-4.0824,46.94,76,7,1.34,clear sky
487,Umm Lajj,SA,25.0213,37.2685,79.81,59,25,5.32,scattered clouds
488,Shangrao,CN,28.4532,117.9686,40.96,65,0,2.55,clear sky
489,Kindu,CD,-2.95,25.95,70.12,100,100,2.28,light rain
490,Kloulklubed,PW,7.0419,134.2556,85.06,76,100,19.01,overcast clouds
491,Sinop,TR,41.7711,34.8709,41.43,71,61,15.57,broken clouds
492,Kaohsiung,TW,22.6163,120.3133,63.03,78,100,5.99,overcast clouds
493,Walvis Bay,NA,-22.9575,14.5053,60.1,83,0,13.69,clear sky
494,Paamiut,GL,61.994,-49.6678,28.69,82,100,8.72,overcast clouds
495,Wasilla,US,61.5814,-149.4394,25.72,58,99,8.99,overcast clouds
496,Jibuti,DJ,11.5,42.5,72.21,58,3,8.34,clear sky
497,Puerto Ayacucho,VE,5.6639,-67.6236,88.34,61,91,1.7,overcast clouds
498,Ngama,TD,11.7833,17.1667,82.22,20,11,10.92,few clouds
499,Jinxiang,CN,27.4327,120.6062,47.68,64,1,10.71,clear sky
500,Benguela,AO,-12.5763,13.4055,77.68,78,100,6.73,overcast clouds
501,Kortkeros,RU,61.8106,51.5806,28.4,99,100,6.85,snow
502,Cervo,ES,43.6702,-7.4101,56.19,84,89,9.24,overcast clouds
503,Zyryanka,RU,65.75,150.85,-14.39,99,100,3.29,overcast clouds
504,Ibra,OM,22.6906,58.5334,70.39,61,97,1.72,overcast clouds
505,Vila Do Maio,CV,15.1333,-23.2167,74.19,66,100,18.32,overcast clouds
506,Yenagoa,NG,4.9247,6.2642,77.59,87,86,4.52,overcast clouds
507,Kurya,RU,51.6003,82.2888,19.04,81,99,5.57,overcast clouds
508,Sur,OM,22.5667,59.5289,74.98,63,14,3.4,few clouds
509,Lamu,KE,-2.2717,40.902,75.42,83,100,6.67,overcast clouds
510,Hazaribag,IN,23.9833,85.35,54.77,55,7,2.98,clear sky
511,Sola,VU,-13.8833,167.55,81.39,69,85,3.42,overcast clouds
512,Tokonou,GN,9.65,-9.7833,74.84,29,44,2.01,scattered clouds
513,Lingsugur,IN,16.1667,76.5167,69.21,93,92,10.65,overcast clouds
514,Byron Bay,AU,-28.65,153.6167,71.87,95,100,1.1,light rain
515,Pevek,RU,69.7008,170.3133,-12.1,100,94,1.28,overcast clouds
516,Sabha,LY,27.0377,14.4283,56.25,20,10,9.28,clear sky
517,Yongan,CN,39.6957,113.6871,19.54,48,0,4.88,clear sky
518,Upington,ZA,-28.4478,21.2561,71.15,12,5,4.9,clear sky
519,Sakaiminato,JP,35.55,133.2333,48.4,60,68,32.5,broken clouds
520,Tenosique,MX,17.4833,-91.4333,81.14,70,52,3.96,broken clouds
521,Ust-Kulom,RU,61.6864,53.6902,32.76,98,100,9.01,snow
522,Caravelas,BR,-17.7125,-39.2481,78.55,83,70,15.57,light rain
523,Dzhebariki-Khaya,RU,62.2167,135.8,-13.61,99,100,2.33,overcast clouds
524,Vostok,RU,46.4856,135.8833,9.64,97,100,4.47,snow
525,San Quintin,MX,30.4833,-115.95,70.0,57,0,10.22,clear sky
526,Tulun,RU,54.5611,100.5792,19.24,77,91,5.57,overcast clouds
527,Banjar,ID,-8.19,114.9675,75.94,91,100,2.3,heavy intensity rain
528,Awjilah,LY,29.1081,21.2869,58.64,79,38,10.13,scattered clouds
529,Nishihara,JP,26.1842,127.7558,63.68,59,75,29.93,broken clouds
530,Presidente Medici,BR,-11.1753,-61.9014,84.42,80,98,2.62,heavy intensity rain
531,Zabol,AF,32.25,67.25,40.01,47,6,2.53,clear sky
532,Miles City,US,46.4083,-105.8406,55.51,40,40,26.46,scattered clouds
533,Saldanha,ZA,-33.0117,17.9442,61.79,82,35,8.9,scattered clouds
534,Ekangala,ZA,-25.6962,28.7492,71.56,57,35,6.29,scattered clouds
535,Sibi,PK,29.5448,67.8764,63.88,27,0,2.24,clear sky
536,Ambilobe,MG,-13.2,49.05,73.4,69,0,4.12,clear sky
537,Alta Floresta,BR,-9.8756,-56.0861,78.62,94,40,8.05,scattered clouds
538,Baracoa,CU,20.3467,-74.4958,77.88,78,100,6.24,overcast clouds
539,Qena,EG,26.1615,32.7183,76.42,25,78,6.4,broken clouds
540,Lingao,CN,19.9103,109.6859,64.45,57,23,9.55,few clouds
541,Balikpapan,ID,-1.2675,116.8289,75.76,89,100,1.12,overcast clouds
542,Kamaishi,JP,39.2667,141.8833,59.63,83,100,32.57,light rain
543,Gundorovskiy,RU,46.7805,41.8968,51.71,89,100,18.43,overcast clouds
544,Orito,CO,0.6766,-76.8771,71.69,97,100,1.81,overcast clouds
545,Waki,JP,34.0667,134.15,53.02,79,100,17.56,overcast clouds
546,Kropotkin,RU,45.4375,40.5756,51.62,73,100,24.02,overcast clouds
547,Manaus,BR,-3.1019,-60.025,85.41,67,84,3.09,broken clouds
548,Follonica,IT,42.9263,10.7616,45.01,79,79,7.25,broken clouds
