City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
537,Alta Floresta,BR,78.62,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
538,Baracoa,CU,77.88,overcast clouds,20.3467,-74.4958,Hostal Rio Miel
539,Qena,EG,76.42,broken clouds,26.1615,32.7183,"Grand hotel ""Quena"""
541,Balikpapan,ID,75.76,overcast clouds,-1.2675,116.8289,ibis Balikpapan
547,Manaus,BR,85.41,broken clouds,-3.1019,-60.025,Manaus Hotéis Millennium
549,Innisfail,AU,79.23,broken clouds,-17.5333,146.0333,Moondarra Motel
555,Cruzeiro Do Sul,BR,83.52,clear sky,-29.5128,-51.9853,Estrela Palace Hotel
572,Sinnamary,GF,80.13,moderate rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
576,Banda Aceh,ID,77.05,overcast clouds,5.5577,95.3222,Sulthan Hotel International
577,Luwuk,ID,78.49,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
579,San Andres,CO,82.42,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
581,Levelland,US,75.18,broken clouds,33.5873,-102.37799999999999,"Holiday Inn Express & Suites Levelland, an IHG Hotel"
585,Guayaramerin,BO,82.09,moderate rain,-10.8368,-65.3614,Hostal Funf
588,Viedma,AR,75.24,clear sky,-40.8135,-62.9967,Hotel Cristal
597,Sao Felix Do Xingu,BR,81.84,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
602,Salalah,OM,75.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
603,Matara,LK,75.85,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
606,Frontera,MX,78.33,scattered clouds,26.9333,-101.45,Casagrande Hotel
608,Abeche,TD,78.73,clear sky,13.8292,20.8324,Assaleh Hamdan Haroune
609,Mahajanga,MG,79.7,moderate rain,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
610,Laguna De Perlas,NI,81.03,few clouds,12.3429,-83.6712,Hotel Best View
611,Tiarei,PF,86.02,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
614,Kokopo,PG,80.92,broken clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
618,Puebloviejo,CO,82.6,scattered clouds,10.9938,-74.2844,The Journey Hostel
624,Ewa Beach,US,82.35,scattered clouds,21.3156,-158.0072,Uncle Junior Robert
627,Coyah,GN,79.45,scattered clouds,9.75,-13.4167,Motel Canal+
628,Alyangula,AU,83.73,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
630,Carutapera,BR,81.54,overcast clouds,-1.195,-46.02,Lidera
635,Abu Dhabi,AE,75.22,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
637,Port Lavaca,US,77.05,scattered clouds,28.615,-96.6261,Holiday Inn Express & Suites Port Lavaca
639,Les Cayes,HT,82.11,overcast clouds,18.2,-73.75,Villa Orphee
640,Xuddur,SO,75.87,broken clouds,4.1213,43.8894,Banjanay Hotel
643,Henderson,US,79.14,clear sky,36.0397,-114.9819,Hawthorn Suites By Wyndham Las Vegas/Henderson
646,Vanimo,PG,77.95,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
651,Cabedelo,BR,83.07,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
657,The Valley,AI,82.54,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
659,Presidencia Roque Saenz Pena,AR,87.67,clear sky,-26.7852,-60.4388,Hotel Aconcagua
666,Lodwar,KE,82.47,overcast clouds,3.1191,35.5973,Solmar Gracious Hotel
669,San Patricio,US,79.21,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
670,America Dourada,BR,75.38,overcast clouds,-11.4553,-41.4361,Pousada do Ninho
671,Belmonte,BR,79.3,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
675,Charters Towers,AU,75.88,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
678,Bida,NG,83.12,scattered clouds,9.0833,6.0167,Royal Suite
679,San Vicente,AR,78.91,clear sky,-26.6167,-54.1333,Complejo Turístico Farelluk
683,Balabac,PH,80.89,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
684,Bandarbeyla,SO,77.04,scattered clouds,9.4942,50.8122,JABIR HOTEL
691,Aden,YE,79.34,clear sky,12.7794,45.0367,Sama Emirate Hotel
692,Tingo Maria,PE,79.93,overcast clouds,-9.2895,-76.0088,Hospedaje Paraíso
